name,address,lon,lat,city
Saint Mark United Methodist Church,"781 Peachtree St NEAtlanta, GA 30308",-84.3840705,33.7759159,Atlanta
Cathedral Of Christ The King,"2699 Peachtree Rd NEAtlanta, GA 30305",-84.3868754,33.8279056,Atlanta
Mount Paran Church Of God,"2055 Mount Paran Rd NWAtlanta, GA 30327",-84.441202,33.862955,Atlanta
Passion City Church,"515 Garson Dr NEAtlanta, GA 30324",-84.3712402,33.8172432,Atlanta
First Baptist Church Atlanta Dr. Charles Stanley,"4400 N Peachtree RdAtlanta, GA 30338",-84.2991351,33.9218503,Atlanta
Our Lady Of Lourdes Catholic Church,"25 Boulevard NEAtlanta, GA 30312",-84.3718049,33.754742,Atlanta
New Covenant Church of Atlanta,"2091 Faulkner Rd NEAtlanta, GA 30324",-84.3571268,33.812576,Atlanta
Unitarian Universalist Church of Atlanta,"1911 Cliff Valley Way NEAtlanta, GA 30329",-84.325583,33.835809,Atlanta
Peachtree Presbyterian Church,"3434 Roswell Rd NWAtlanta, GA 30305",-84.3831935,33.8475141,Atlanta
Worship With Wonders Church,"1775 Water Place SEAtlanta, GA 30339",-84.4843102,33.9090989,Atlanta
Al Farooq Masjid,"442 14th St NWAtlanta, GA 30318",-84.4016306,33.7857645,Atlanta
Grace United Methodist Church,"458 Ponce De Leon Ave NEAtlanta, GA 30308",-84.3719889,33.7738913,Atlanta
Trinity Anglican Mission,"2270 Defoor Hills Rd NWAtlanta, GA 30318",-84.4348674,33.8157094,Atlanta
Latter Grace Church,"1403 Northwest Dr NWAtlanta, GA 30318",-84.4832732,33.7941558,Atlanta
Holy Spirit Preparatory School,"4465 Northside Dr NWAtlanta, GA 30327",-84.4116286,33.8772043,Atlanta
Ahavath Achim Synagogue,"600 Peachtree Battle Ave NWAtlanta, GA 30327",-84.4089772,33.8233671,Atlanta
St Pauls Presbyterian Church,"163 Ponce De Leon Ave NEAtlanta, GA 30308",-84.3820901,33.7720888,Atlanta
Northside Drive Baptist Church,"3100 Northside Dr NWAtlanta, GA 30305",-84.4095651,33.8404323,Atlanta
Destiny Metropolitan Worship,"1775 Water Pl SEAtlanta, GA 30339",-84.4843102,33.9090989,Atlanta
Dunwoody United Methodist Church,"1548 Mount Vernon RdAtlanta, GA 30338",-84.3365389,33.9457201,Atlanta
Family Life Center,"2715 Peachtree Rd NEAtlanta, GA 30305",-84.3874607,33.8290171,Atlanta
Atlanta Communities,"5920 Roswell Rd Ste B118Atlanta, GA 30328",-84.3792569,33.9162606,Atlanta
Briar Cliff Baptist Church,"3039 Briarcliff Rd NEAtlanta, GA 30329",-84.3139762,33.8370713,Atlanta
Temple Sinai,"5645 Dupree DrAtlanta, GA 30327",-84.4194791,33.9106123,Atlanta
Marvelous Light Studios,"1980 Sandgate CircleAtlanta, GA 30349",-84.4605925,33.5892562,Atlanta
Peachtree Road Lutheran Church Pre-School,"3686 Peachtree Rd NEAtlanta, GA 30319",-84.3581276,33.8539269,Atlanta
Believers Bible Christian Church,"3689 Campbellton Rd., SWAtlanta, GA 30331",-84.507706,33.69129,Atlanta
Creflo Dollar Ministries,"Po Box 490124Atlanta, GA 30349",-84.5327038,33.620038,Atlanta
Elizabeth Baptist Church,"4245 Cascade Rd SWAtlanta, GA 30331",-84.5694011,33.7305741,Atlanta
Providence Missionary Baptist Church,"2295 Benjamin E Mays Dr SWAtlanta, GA 30311",-84.4637467,33.723213,Atlanta
The Greater Piney Grove Baptist Church,"1879 Glenwood Ave SE, Atlanta, GA 30316",-84.3257312,33.7393195,Atlanta
Mt Harmony Baptist Church,"561 Veterans Memorial Hwy SW, Mableton, GA 30126",-84.5711718,33.8178122,Atlanta
Church Of Christ Moreland Ave,"671 Moreland Ave SE, Atlanta, GA 30316",-84.3494975,33.7358882,Atlanta
Catholic Archdiocese of Atlanta,"2401 Lake Park Dr SE, Smyrna, GA 30080",-84.482245,33.8951008,Atlanta
Kelly Lake Church Of God In Christ,"2411 Whites Mill Rd, Decatur, GA 30032",-84.2876627,33.7156329,Atlanta
Mt Ephraim Baptist Church,"1202 W Marietta St NW, Atlanta, GA 30318",-84.4267036,33.7852014,Atlanta
Saint Mark United Methodist Church,"781 Peachtree St NEAtlanta, GA 30308",-84.3840705,33.7759159,Atlanta
Cathedral Of Christ The King,"2699 Peachtree Rd NEAtlanta, GA 30305",-84.3868754,33.8279056,Atlanta
Mount Paran Church Of God,"2055 Mount Paran Rd NWAtlanta, GA 30327",-84.441202,33.862955,Atlanta
Passion City Church,"515 Garson Dr NEAtlanta, GA 30324",-84.3712402,33.8172432,Atlanta
First Baptist Church Atlanta Dr. Charles Stanley,"4400 N Peachtree RdAtlanta, GA 30338",-84.2991351,33.9218503,Atlanta
Our Lady Of Lourdes Catholic Church,"25 Boulevard NEAtlanta, GA 30312",-84.3718049,33.754742,Atlanta
New Covenant Church of Atlanta,"2091 Faulkner Rd NEAtlanta, GA 30324",-84.3571268,33.812576,Atlanta
Unitarian Universalist Church of Atlanta,"1911 Cliff Valley Way NEAtlanta, GA 30329",-84.325583,33.835809,Atlanta
Peachtree Presbyterian Church,"3434 Roswell Rd NWAtlanta, GA 30305",-84.3831935,33.8475141,Atlanta
Worship With Wonders Church,"1775 Water Place SEAtlanta, GA 30339",-84.4843102,33.9090989,Atlanta
Al Farooq Masjid,"442 14th St NWAtlanta, GA 30318",-84.4016306,33.7857645,Atlanta
Grace United Methodist Church,"458 Ponce De Leon Ave NEAtlanta, GA 30308",-84.3719889,33.7738913,Atlanta
Trinity Anglican Mission,"2270 Defoor Hills Rd NWAtlanta, GA 30318",-84.4348674,33.8157094,Atlanta
Latter Grace Church,"1403 Northwest Dr NWAtlanta, GA 30318",-84.4832732,33.7941558,Atlanta
Holy Spirit Preparatory School,"4465 Northside Dr NWAtlanta, GA 30327",-84.4116286,33.8772043,Atlanta
Ahavath Achim Synagogue,"600 Peachtree Battle Ave NWAtlanta, GA 30327",-84.4089772,33.8233671,Atlanta
St Pauls Presbyterian Church,"163 Ponce De Leon Ave NEAtlanta, GA 30308",-84.3820901,33.7720888,Atlanta
Northside Drive Baptist Church,"3100 Northside Dr NWAtlanta, GA 30305",-84.4095651,33.8404323,Atlanta
Destiny Metropolitan Worship,"1775 Water Pl SEAtlanta, GA 30339",-84.4843102,33.9090989,Atlanta
Dunwoody United Methodist Church,"1548 Mount Vernon RdAtlanta, GA 30338",-84.3365389,33.9457201,Atlanta
Family Life Center,"2715 Peachtree Rd NEAtlanta, GA 30305",-84.3874607,33.8290171,Atlanta
Atlanta Communities,"5920 Roswell Rd Ste B118Atlanta, GA 30328",-84.3792569,33.9162606,Atlanta
Briar Cliff Baptist Church,"3039 Briarcliff Rd NEAtlanta, GA 30329",-84.3139762,33.8370713,Atlanta
Temple Sinai,"5645 Dupree DrAtlanta, GA 30327",-84.4194791,33.9106123,Atlanta
Marvelous Light Studios,"1980 Sandgate CircleAtlanta, GA 30349",-84.4605925,33.5892562,Atlanta
Peachtree Road Lutheran Church Pre-School,"3686 Peachtree Rd NEAtlanta, GA 30319",-84.3581276,33.8539269,Atlanta
Believers Bible Christian Church,"3689 Campbellton Rd., SWAtlanta, GA 30331",-84.507706,33.69129,Atlanta
Creflo Dollar Ministries,"Po Box 490124Atlanta, GA 30349",-84.5327038,33.620038,Atlanta
Elizabeth Baptist Church,"4245 Cascade Rd SWAtlanta, GA 30331",-84.5694011,33.7305741,Atlanta
Providence Missionary Baptist Church,"2295 Benjamin E Mays Dr SWAtlanta, GA 30311",-84.4637467,33.723213,Atlanta
The Greater Piney Grove Baptist Church,"1879 Glenwood Ave SE, Atlanta, GA 30316",-84.3257312,33.7393195,Atlanta
Mt Harmony Baptist Church,"561 Veterans Memorial Hwy SW, Mableton, GA 30126",-84.5711718,33.8178122,Atlanta
Church Of Christ Moreland Ave,"671 Moreland Ave SE, Atlanta, GA 30316",-84.3494975,33.7358882,Atlanta
Catholic Archdiocese of Atlanta,"2401 Lake Park Dr SE, Smyrna, GA 30080",-84.482245,33.8951008,Atlanta
Kelly Lake Church Of God In Christ,"2411 Whites Mill Rd, Decatur, GA 30032",-84.2876627,33.7156329,Atlanta
Mt Ephraim Baptist Church,"1202 W Marietta St NW, Atlanta, GA 30318",-84.4267036,33.7852014,Atlanta
Dunwoody Baptist Church,"1445 Mount Vernon RdAtlanta, GA 30338",-84.3393329,33.9402906,Atlanta
Greek Orthodox Cathedral,"2500 Clairmont Rd NEAtlanta, GA 30329",-84.3095042,33.8294201,Atlanta
Immaculate Conception Rectory,"48 Martin Luther King Jr Dr SWAtlanta, GA 30303",-84.3896238,33.7504376,Atlanta
Inman Park United Methodist Church,"1015 Edgewood Ave NEAtlanta, GA 30307",-84.3544103,33.7567318,Atlanta
Holy Spirit College,"4465 Northside Dr NWAtlanta, GA 30327",-84.4116286,33.8772043,Atlanta
Ebenezer Baptist Church,"407 Auburn Ave NEAtlanta, GA 30312",-84.3742064,33.7551977,Atlanta
North Avenue Presbyterian Church,"607 Peachtree St NEAtlanta, GA 30308",-84.384433,33.770969,Atlanta
All Saints Catholic Church,"2443 Mount Vernon RdAtlanta, GA 30338",-84.3018747,33.9564724,Atlanta
Ministers of Jesus Christ Church,"935 Bolton Rd NWAtlanta, GA 30331",-84.4979646,33.7809053,Atlanta
Shallowford Presbyterian Church,"2375 Shallowford Rd NEAtlanta, GA 30345",-84.2813842,33.8575335,Atlanta
Southwest Christian Church,"4330 Washington RdAtlanta, GA 30344",-84.4911674,33.6379685,Atlanta
The Lutheran Church of The Ascension,"4000 Roswell Rd NEAtlanta, GA 30342",-84.3811047,33.8637896,Atlanta
Atlanta Inner-City Ministry,"1966 Lakewood Ter SEAtlanta, GA 30315",-84.3849641,33.7016311,Atlanta
